#TWS,TWA,V,VMG,Heel,Reef,Flat,AWS,AWA,Lee,Sail
10.0,36.0,5.346,4.325,13.5,1.000,0.955,14.60,23.0,4.62,Up
10.0,39.0,5.749,4.468,14.6,1.000,0.961,14.83,24.2,4.18,Up
10.0,41.8,6.050,4.507,15.6,1.000,0.971,14.95,25.5,3.91,Up
10.0,42.0,6.075,4.515,15.6,1.000,0.971,14.96,25.5,3.88,Up
10.0,45.0,6.341,4.484,16.5,1.000,0.987,15.03,26.8,3.68,Up
10.0,50.0,6.671,4.288,16.9,1.000,1.000,15.01,29.2,3.34,Up
10.0,60.0,7.050,3.525,15.1,1.000,1.000,14.67,34.8,2.71,Up
10.0,70.0,7.248,2.479,12.5,1.000,1.000,14.07,40.7,2.22,Up
10.0,80.0,7.337,1.274,10.1,1.000,1.000,13.28,46.9,1.82,Up
10.0,90.0,7.416,-0.000,15.8,1.000,1.000,12.15,52.4,2.08,Dn
10.0,100.0,7.482,-1.299,12.8,1.000,1.000,11.19,59.1,1.75,Dn
10.0,110.0,7.434,-2.543,9.6,1.000,1.000,10.10,66.6,1.40,Dn
10.0,120.0,7.304,-3.652,6.8,1.000,1.000,8.90,75.0,1.07,Dn
10.0,130.0,7.096,-4.562,4.5,1.000,1.000,7.67,85.0,0.78,Dn
10.0,135.0,6.960,-4.921,3.5,1.000,1.000,7.06,90.9,0.64,Dn
10.0,140.0,6.796,-5.206,2.6,1.000,1.000,6.48,97.7,0.51,Dn
10.0,150.0,6.329,-5.481,1.1,1.000,1.000,5.52,115.0,0.29,Dn
10.0,150.9,6.275,5.483,1.2,1.000,1.000,5.45,116.9,0.28,Dn
10.0,160.0,5.706,-5.362,0.5,1.000,1.000,5.03,137.2,0.16,Dn
10.0,170.0,5.274,-5.194,0.2,1.000,1.000,4.89,159.2,0.08,Dn
10.0,180.0,4.968,-4.968,-0.0,1.000,1.000,5.03,180.0,-0.00,Dn
12.0,30.0,4.546,3.937,13.4,1.000,0.814,16.04,21.3,6.47,Up
12.0,33.0,5.226,4.383,15.1,1.000,0.810,16.54,22.4,5.27,Up
12.0,36.0,5.712,4.621,16.6,1.000,0.814,16.84,23.7,4.65,Up
12.0,39.0,6.092,4.734,17.8,1.000,0.819,17.01,25.0,4.25,Up
12.0,40.8,6.266,4.742,18.4,1.000,0.825,17.06,25.9,4.08,Up
12.0,42.0,6.392,4.750,18.7,1.000,0.828,17.09,26.4,3.96,Up
12.0,45.0,6.624,4.684,19.5,1.000,0.842,17.10,27.9,3.76,Up
12.0,50.0,6.905,4.438,20.3,1.000,0.875,16.97,30.5,3.54,Up
